model,prompt,trial,score,kind,compile_ok,sim_ok,tests_passed,tests_failed,fix_lines,notes,timestamp
gpt,P5b,3,0,TB,0,0,0,0,0,TB compile failed (2 errors),2026-04-21T07:57:47
gpt,P6,1,0,TB,0,0,0,0,0,TB compile failed (1 errors),2026-04-21T07:57:48
gpt,P6,2,0,TB,0,0,0,0,0,TB compile failed (7 errors),2026-04-21T07:57:48
gpt,P6,3,0,TB,0,0,0,0,0,TB compile failed (1 errors),2026-04-21T07:57:48
gemini,P1,1,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:48
gemini,P1,2,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:48
gemini,P1,3,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:49
gemini,P2,1,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:49
gemini,P2,2,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:49
gemini,P2,3,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:49
gemini,P3,1,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:49
gemini,P3,2,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:50
gemini,P3,3,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:50
gemini,P4,1,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:50
gemini,P4,2,0,RTL,0,0,0,0,0,compile fails badly or vcs missing,2026-04-21T07:57:50
gemini,P4,3,0,RTL,0,0,0,0,0,compile fails badly or vcs missing,2026-04-21T07:57:50
gemini,P5,1,0,TB,0,0,0,0,0,TB compile failed (1 errors),2026-04-21T07:57:51
gemini,P5,2,1,TB,1,1,0,8,0,8 tests failed,2026-04-21T07:57:51
gemini,P5,3,1,TB,1,1,0,8,0,8 tests failed,2026-04-21T07:57:51
gemini,P5b,1,0,TB,0,0,0,0,0,TB compile failed (2 errors),2026-04-21T07:57:51
gemini,P5b,2,0,TB,0,0,0,0,0,TB compile failed (2 errors),2026-04-21T07:57:51
gemini,P5b,3,0,TB,0,0,0,0,0,TB compile failed (2 errors),2026-04-21T07:57:52
gemini,P6,1,0,TB,0,0,0,0,0,TB compile failed (4 errors),2026-04-21T07:57:52
gemini,P6,2,0,TB,0,0,0,0,0,TB compile failed (6 errors),2026-04-21T07:57:52
gemini,P6,3,0,TB,0,0,0,0,0,TB compile failed (6 errors),2026-04-21T07:57:52
